x_centriod,y_centroid,tl_fid,year,bldg_typ,num_floors,RMV,dpt_100y,dpt_200y,dpt_250y,dpt_500y,dpt_1000y,dpt_2500y,dpt_5000y,dpt_10000y,MF_100y,MF_200y,MF_250y,MF_500y,MF_1000y,MF_2500y,MF_5000y,MF_10000y,v_100y,v_200y,v_250y,v_500y,v_1000y,v_2500y,v_5000y,v_10000y
429925.0976,5093873.072,2317,0,0,0,0,0,0,0,0,0,0,0,0.08278,0,0,0,0,0,0,0,-0.18965,0,0,0,0,0,0,0,0.05253
428721.0495,5093860.665,2318,2001,1,1,108717,0,0,0,0.18422,2.25123,4.30929,5.38484,6.20156,0,0,0,0.96905,3.97359,25.41553,47.8606,69.11568,0,0,0,0.16907,1.51541,2.73099,3.42347,3.88155
428736.2844,5093860.721,2319,1985,1,1,105640,0,0,0,0.09049,1.89627,3.81176,4.82685,5.70982,0,0,0,0.30292,3.98619,28.3165,52.91482,77.33512,0,0,0,0.04812,1.55675,2.85086,3.54168,3.94959
428752.3024,5093861.329,2320,2007,3,1,148223,0,0,0,0.09049,1.89627,3.81176,4.82685,5.70982,0,0,0,0.30292,3.98619,28.3165,52.91482,77.33512,0,0,0,0.04812,1.55675,2.85086,3.54168,3.94959
429696.573,5093757.789,2321,0,0,0,93000,0,0,0,0,0,0,0.11214,0.34514,0,0,0,0,0,0,-0.1955,-0.50021,0,0,0,0,0,0,0.03734,0.13107
428769.5319,5093788.011,2322,0,0,0,5530,0,0,0,0,1.35767,3.17401,4.34687,5.65681,0,0,0,0,5.01877,31.07679,58.33611,86.74685,0,0,0,0,1.89302,3.3164,3.97521,4.50856
428776.4356,5093787.907,2323,0,0,0,114585,0,0,0,0,1.35767,3.17401,4.34687,5.65681,0,0,0,0,5.01877,31.07679,58.33611,86.74685,0,0,0,0,1.89302,3.3164,3.97521,4.50856
428840.8035,5093788.316,2324,2003,1,1,9827516,0,0,0,0,1.81561,3.59254,5.38151,6.78986,0,0,0,0,3.91766,23.53064,45.06771,70.05701,0,0,0,0,1.66322,2.94374,3.77806,4.19317
429126.945,5093862.63,2325,0,0,0,110603,0,0,0,0.15584,2.50182,4.32749,6.42626,7.84233,0,0,0,0.12548,1.27237,12.35213,31.04328,51.82553,0,0,0,0.05609,0.83004,2.6826,3.59158,4.15804
428032.3146,5093829.484,2326,1961,2.5,3,2350272,0,0,0,1.67489,3.86688,5.23221,6.41408,7.16539,0,0,0,8.46717,67.80437,144.89326,254.80571,305.22812,0,0,0,2.34259,4.31573,5.42483,6.28298,6.71495
429699.9125,5093883.616,2327,0,0,0,0,0,0,0,0,0,0,0.07275,0.31306,0,0,0,0,0,0,-0.22411,-0.53085,0,0,0,0,0,0,0.07643,0.16214
429896.8497,5093881.795,2328,1998,1,1,283232,0,0,0,0,0,0,0,0.09902,0,0,0,0,0,0,0,-0.32731,0,0,0,0,0,0,0,0.06875
429019.5677,5093786.898,2329,0,0,0,275838,0,0,0,0,1.73221,3.54042,5.64052,7.04897,0,0,0,0,1,12.21968,29.71194,48.95069,0,0,0,0,0.93363,2.34971,3.04106,3.5659
428076.6943,5093828.901,2330,1937,3,1,551397,0,0,0,1.47427,3.62877,5.32635,6.40757,7.32484,0,0,0,9.52485,73.54993,146.91727,249.75113,324.53757,0,0,0,2.59265,4.58723,5.71003,6.54283,6.91145
428105.6357,5093828.368,2331,1,0,1,509524,0,0,0,1.5923,3.97127,5.97461,7.0346,8.02641,0,0,0,10.36926,70.4492,137.32394,223.69629,283.92749,0,0,0,2.63091,4.52196,5.56516,6.3226,6.65541
428133.0538,5093827.863,2332,1,3,1,1809962,0,0,0,1.97419,4.65746,6.72465,7.79056,8.80648,0,0,0,8.63768,58.44351,117.54818,192.9471,242.92645,0,0,0,2.28998,4.06953,4.98699,5.62909,5.89512
428485.8501,5093808.604,2333,2004,3,1,6024536,0,0,0.01618,1.03975,3.22147,5.72098,6.98663,7.91169,0,0,0.06386,1.05652,12.3791,39.38891,69.63762,105.3576,0,0,0.0281,0.56275,2.09597,2.99355,3.60109,4.00982
428549.7718,5093850.873,2334,0,0,0,1300,0,0,0,0.61783,2.76881,5.21127,6.42109,7.31271,0,0,0,1,7.01569,34.25626,60.20657,91.30873,0,0,0,0.32348,1.9635,3.06684,3.77687,4.27587
429820.0657,5093865.621,2335,2003,2,2,264888,0,0,0,0,0,0,0,0.09978,0,0,0,0,0,0,0,-0.31988,0,0,0,0,0,0,0,0.06892
428178.7098,5093825.201,2336,1,0,1,443190,0,0,0,2.08378,4.71629,6.74096,7.86705,8.901,0,0,0,6.58081,53.55972,107.68132,182.38533,230.80782,0,0,0,1.99599,3.82782,4.75662,5.34757,5.63955
428199.2696,5093824.823,2337,1,0,1,221465,0,0,0,1.85168,4.38613,6.4268,7.71801,8.77699,0,0,0,5.5494,43.91678,106.2527,182.28854,234.84341,0,0,0,1.88233,3.60027,4.6426,5.28216,5.61552
428216.0376,5093824.517,2338,1,0,1,318532,0,0,0,1.85168,4.38613,6.4268,7.71801,8.77699,0,0,0,5.5494,43.91678,106.2527,182.28854,234.84341,0,0,0,1.88233,3.60027,4.6426,5.28216,5.61552
428311.5227,5093812.885,2339,0,3,1,12506190,0.02477,0.04901,0.12182,1.73066,3.93715,6.42927,7.75318,8.72842,0.13646,0.13656,0.12793,2.22689,37.6497,107.08918,170.35803,228.44737,0.02691,0.03393,0.06383,1.56982,3.89083,5.09998,5.99164,6.42555
429916.3309,5093868.574,2340,0,0,0,165195,0,0,0,0,0,0,0,0.09902,0,0,0,0,0,0,0,-0.32731,0,0,0,0,0,0,0,0.06875
429878.2361,5093865.083,2341,2003,1,1,279687,0,0,0,0,0,0,0,0.09944,0,0,0,0,0,0,0,-0.32029,0,0,0,0,0,0,0,0.06897
429701.8896,5093868.682,2342,0,0,0,0,0,0,0,0,0,0,0.07275,0.31306,0,0,0,0,0,0,-0.22411,-0.53085,0,0,0,0,0,0,0.07643,0.16214
429840.9704,5093850.215,2343,2005,2,2,307003,0,0,0,0,0,0,0,0.09895,0,0,0,0,0,0,0,-0.34288,0,0,0,0,0,0,0,0.06863
429859.6625,5093827.908,2344,2003,1,1,279786,0,0,0,0,0,0,0,0.09844,0,0,0,0,0,0,0,-0.37024,0,0,0,0,0,0,0,0.06851
428556.9633,5093827.731,2345,1946,3,1,476084,0,0,0,0.61783,2.76881,5.21127,6.42109,7.31271,0,0,0,1,7.01569,34.25626,60.20657,91.30873,0,0,0,0.32348,1.9635,3.06684,3.77687,4.27587
429711.158,5093854.562,2346,0,0,0,68327,0,0,0,0,0,0,0.07275,0.31306,0,0,0,0,0,0,-0.22411,-0.53085,0,0,0,0,0,0,0.07643,0.16214
428574.1004,5093819.094,2347,0,0,0,26789,0,0,0,0.54106,2.66648,5.0656,6.24809,7.15611,0,0,0,1,6.30376,31.62214,56.65231,85.64933,0,0,0,0.3,1.89586,3.05004,3.6818,4.23207
428584.075,5093822.875,2348,1919,3,1,201167,0,0,0,0.54106,2.66648,5.0656,6.24809,7.15611,0,0,0,1,6.30376,31.62214,56.65231,85.64933,0,0,0,0.3,1.89586,3.05004,3.6818,4.23207
428599.3097,5093822.932,2349,1955,3,1,333665,0,0,0,0.38377,2.53379,4.82639,5.9767,6.86828,0,0,0,1,5.85446,29.31258,53.76965,82.4006,0,0,0,0.3,1.80218,3.05797,3.64128,4.12494
429767.4651,5093864.374,2350,0,0,0,68327,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,-0.24614,0,0,0,0,0,0,0,0.07609
428622.1619,5093823.017,2351,1996,3,1,334890,0,0,0,0.38377,2.53379,4.82639,5.9767,6.86828,0,0,0,1,5.85446,29.31258,53.76965,82.4006,0,0,0,0.3,1.80218,3.05797,3.64128,4.12494
428645.0141,5093823.102,2352,1916,1,1,204967,0,0,0,0.29991,2.44182,4.65018,5.7834,6.64985,0,0,0,1,4.63366,27.29758,50.291,76.54494,0,0,0,0.28751,1.73355,3.01802,3.60887,4.13371
